key	RU	EN	ES-EU	ES_LA	PT-BR	PT-EU	FR	DE	JA	KO	ZH-S	ZH-T	TR	TH	IT	ID
soft_per_second	золото/сек	gold/sec	oro/s	oro/s	ouro/seg	ouro/seg.	or/sec	Gold/Sek.	ゴールド/秒	골드/초	黄金/秒	黃金/秒	altın/sn	ทองคำ/วินาที	monete/s	emas/dtk
monsters	Существа	Creatures	Criaturas	Criaturas	Criaturas	Criaturas	Créatures	Monster	生き物	피조물	生物	生物	Yaratıklar	สิ่งมีชีวิต	Creature	Makhluk
upgrades	Улучшения	Upgrades	Mejoras	Mejoras	Upgrades	Upgrades	Améliorations	Upgrades	アップグレード	업그레이드	升级	升級	Yükseltmeler	อัปเกรด	Upgrade	Upgrade
boosters	Бустеры	Boosters	Potenciadores	Potenciadores	Boosters	Boosters	Boosters	Booster	ブースター	부스터	加速器	道具	Güçlendiriciler	ตัวเพิ่มพลัง	Potenziamenti	Pendorong
map	Карта	Map	Mapa	Mapa	Mapa	Mapa	Carte	Karte	マップ	맵	地图	地圖	Harita	แผนที่	Mappa	Peta
collection_progress	Видов открыто: {0}/{1}	Species opened: {0}/{1}	Especies abiertas: {0}/{1}	Especies abiertas: {0}/{1}	Espécies abertas: {0}/{1}	Espécies abertas: {0}/{1}	Espèces ouvertes : {0}/{1}	Verfügbare Spezies: {0}/{1}	開かれた種類：{0}/{1}	열린 종: {0}/{1}	打开的物种：{0}/{1}	開啟的物種：{0}/{1}	Açılan türler: {0}/{1}	สายพันธุ์ที่เปิด: {0}/{1}	Specie aperte: {0}/{1}	Spesies dibuka: {0}/{1}
bubble_full	Полный	Full	Llena	Lleno	Completo	Completo	Pleine	Bubble voll	完全	전체	完整	已滿	Dolu	เต็ม	Pieno	Penuh
on	Вкл	On	Activado	Activado	Ativado	Ativado	Activé	An	オン	On	开	開	Açık	เปิด	Attivato	Aktif
off	Выкл	Off	Desactivado	Desactivado	Desativado	Desativado	Désactivé	Aus	オフ	Off	关	關	Kapalı	ปิด	Disattivato	Nonaktif
upgrade_bubletime_title	Время яйца	Egg time	Tiempo de huevo	Tiempo del huevo	Tempo do ovo	Tempo do ovo	Durée avant l'œuf	Zeit für Eier	たまごタイム	달걀 시간	产卵时间	孵化時間	Yumurta süresi	เวลาของไข่	Tempo dell'uovo	Waktu telur
upgrade_bubletime_description	Сокращает время появления яйца.	Speeds up new egg.	Acelera la aparición de un nuevo huevo.	Acelera huevo nuevo	Acelera saída do novo ovo	Acelera o novo ovo	Accélère l'arrivée du nouvel œuf	Reduziert die Erscheinungszeit des Eies	新しいたまごをスピードアップ	새 달걀 촉진	加速新卵	加快新蛋的速度	Yeni yumurtayı hızlandırır	เร่งเวลาไข่ใบใหม่	Velocizza il nuovo uovo	Percepat telur baru
money_box	Копилка	Piggy bank	Hucha	Alcancía	Cofrinho	Mealheiro	Tirelire	Guthaben	貯金箱	돼지 저금통	存钱罐	存錢罐	Kumbara	หมูออมสิน	Salvadanaio	Celengan
